year,series,series_label,value
1944,nine_year,9-yr average,1.317727865
1945,nine_year,9-yr average,1.515885417
1946,nine_year,9-yr average,1.722294922
1947,nine_year,9-yr average,1.688561198
1948,nine_year,9-yr average,1.479436849
1949,nine_year,9-yr average,1.268974609
1950,nine_year,9-yr average,0.961350911
1951,nine_year,9-yr average,0.25233724
1952,nine_year,9-yr average,-0.951289063
1953,nine_year,9-yr average,-2.299072266
1954,nine_year,9-yr average,-3.182724609
1955,nine_year,9-yr average,-3.10210612
1956,nine_year,9-yr average,-2.032763672
1957,nine_year,9-yr average,-0.601279297
1958,nine_year,9-yr average,0.356943359
1959,nine_year,9-yr average,0.567021484
1960,nine_year,9-yr average,0.34445638
1961,nine_year,9-yr average,-0.049635417
1962,nine_year,9-yr average,-0.542809245
1963,nine_year,9-yr average,-0.911842448
1964,nine_year,9-yr average,-0.921103516
1965,nine_year,9-yr average,-0.628011068
1966,nine_year,9-yr average,-0.161181641
1967,nine_year,9-yr average,0.459827474
1968,nine_year,9-yr average,1.067646484
1969,nine_year,9-yr average,1.38180013
1970,nine_year,9-yr average,1.466809896
1971,nine_year,9-yr average,1.744108073
1972,nine_year,9-yr average,2.392327474
1973,nine_year,9-yr average,3.005188802
1974,nine_year,9-yr average,2.988323568
1975,nine_year,9-yr average,2.204361979
1976,nine_year,9-yr average,1.172884115
1977,nine_year,9-yr average,0.571582031
1978,nine_year,9-yr average,0.523408203
1979,nine_year,9-yr average,0.641695964
1980,nine_year,9-yr average,0.815159505
1981,nine_year,9-yr average,1.384264323
1982,nine_year,9-yr average,2.34968099
1983,nine_year,9-yr average,3.052405599
1984,nine_year,9-yr average,2.931178385
1985,nine_year,9-yr average,2.07055013
1986,nine_year,9-yr average,0.864814453
1987,nine_year,9-yr average,-0.290136719
1988,nine_year,9-yr average,-0.94133138
1989,nine_year,9-yr average,-0.800768229
1990,nine_year,9-yr average,-0.042001953
1991,nine_year,9-yr average,0.932832031
1992,nine_year,9-yr average,1.828108724
1993,nine_year,9-yr average,2.456871745
1994,nine_year,9-yr average,2.765891927
1995,nine_year,9-yr average,2.883024089
1996,nine_year,9-yr average,2.840455729
1997,nine_year,9-yr average,2.350992839
1998,nine_year,9-yr average,1.151461589
1999,nine_year,9-yr average,-0.478688151
2000,nine_year,9-yr average,-1.760221354
2001,nine_year,9-yr average,-2.051764323
2002,nine_year,9-yr average,-1.409736328
2003,nine_year,9-yr average,-0.522692057
2004,nine_year,9-yr average,-0.117154948
2005,nine_year,9-yr average,-0.345996094
2006,nine_year,9-yr average,-0.699342448
2007,nine_year,9-yr average,-0.570026042
2008,nine_year,9-yr average,0.090449219
2009,nine_year,9-yr average,0.695416667
2010,nine_year,9-yr average,0.612486979
2011,nine_year,9-yr average,-0.091162109
2012,nine_year,9-yr average,-0.633151042
2013,nine_year,9-yr average,-0.459505208
2014,nine_year,9-yr average,0.102480469
2015,nine_year,9-yr average,0.430865885
2016,nine_year,9-yr average,0.464384766
2017,nine_year,9-yr average,0.603369141
2018,nine_year,9-yr average,0.931796875
2019,nine_year,9-yr average,0.924514974
2020,nine_year,9-yr average,0.143603516
2021,nine_year,9-yr average,-1.069391276
2022,nine_year,9-yr average,-1.99101237
2023,nine_year,9-yr average,-2.341337891
