"Figure 3. Average Change in Drought (Five-Year SPEI) in the Contiguous 48 States, 1900–2023",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: WestWide Drought Tracker, 2024",
Web update: June 2024,
Units: SPEI value,
,
Climate division,Change in five-year SPEI value
NORTH CENTRAL_UT,-0.131686483
NORTH CENTRAL_WI,1.048035538
NORTH CENTRAL_WV,1.54866138
NORTH COAST DRAINAGE_CA,-0.478356875
NORTH_FL,0.837702734
NORTHEAST HILLS_OH,0.868336708
NORTHEAST INTER. BASINS_CA,-0.637688699
NORTHEAST LOWER_MI,1.891713249
NORTHEAST PRAIRIE_MO,1.374934071
NORTHEAST_AR,1.188311373
NORTHEAST_AZ,-1.614949762
NORTHEAST_GA,0.165325403
NORTHEAST_IA,1.864481435
NORTHEAST_IL,1.881851789
NORTHEAST_IN,1.552211692
NORTHEAST_KS,1.104752222
NORTHEAST_LA,1.611741447
NORTHEAST_MN,1.504403919
NORTHEAST_MS,2.090703386
NORTHEAST_ND,0.92218751
NORTHEAST_NE,0.781791118
NORTHEAST_OH,1.690660169
NORTHEAST_OK,1.19316706
NORTHEAST_OR,0.25104895
NORTHEAST_SC,0.807589301
NORTHEAST_SD,0.540751844
NORTHEAST_WI,1.158760552
NORTHEASTERN PLAINS_NM,-0.437555756
NORTHEASTERN SHORE_MD,1.013790955
NORTHEASTERN VALLEYS_ID,0.089842763
NORTHEASTERN_MT,-0.307406485
NORTHEASTERN_NV,-0.025174212
NORTHEASTERN_VT,2.222865116
NORTHEASTERN_WA,0.092301271
NORTHEASTERN_WV,1.038223165
NORTHERN CASCADES_OR,0.196632161
NORTHERN CENTRAL_MD,1.027938423
NORTHERN COASTAL PLAIN_NC,0.498698843
NORTHERN MOUNTAINS_NC,0.27848492
NORTHERN MOUNTAINS_NM,-0.821661203
NORTHERN MOUNTAINS_UT,-0.21717844
NORTHERN PIEDMONT_NC,0.64347677
NORTHERN PLATEAU_NY,1.715875568
NORTHERN VALLEY_AL,1.892575395
NORTHERN_DE,1.428154196
NORTHERN_ME,1.926158696
NORTHERN_NH,2.345570233
NORTHERN_NJ,0.867756667
NORTHERN_VA,1.400331756
NORTHWEST PLATEAU_PA,1.741554723
NORTHWEST PRAIRIE_MO,1.416119586
NORTHWEST_AR,1.329250274
NORTHWEST_AZ,-1.839091294
NORTHWEST_CT,1.137498017
NORTHWEST_FL,1.248566082
NORTHWEST_GA,0.943771736
NORTHWEST_IA,0.881802305
NORTHWEST_IL,1.811627302
NORTHWEST_IN,1.994624845
NORTHWEST_KS,0.707179744
NORTHWEST_LA,1.602023671
NORTHWEST_MI,2.159201331
NORTHWEST_MN,0.950922693
NORTHWEST_ND,0.50808647
NORTHWEST_OH,1.384697762
NORTHWEST_SC,-0.333606816
NORTHWEST_SD,0.817480153
NORTHWEST_WI,1.395193675
NORTHWESTERN PLATEAU_NM,-1.67912229
NORTHWESTERN_NV,-0.917392185
NORTHWESTERN_WV,1.435666057
OKANOGAN BIG BEND_WA,-0.309221995
PALOUSE BLUE MOUNTAINS_WA,-0.436166948
PANHANDLE_ID,0.329569685
PANHANDLE_NE,-0.023379257
PANHANDLE_OK,0.127765038
PIEDMONT PLATEAU_AL,1.226720632
PLATTE DRAINAGE BASIN_CO,-0.115564654
POCONO MOUNTAINS_PA,1.261659018
"POWDER, LITTLE MISSOURI, TONGU_WY",0.027292516
PRAIRIE_AL,1.634738291
PUGET SOUND LOWLANDS_WA,0.177979384
RIO GRANDE DRAINAGE BASIN_CO,-1.017514952
